"season" "imdb_rating" "total_votes"
"1" "1" 8.01666666666667 3195.33333333333
"2" "2" 8.43636363636364 2630.63636363636
"3" "3" 8.57391304347826 2443.17391304348
"4" "4" 8.6 2422.57142857143
"5" "5" 8.49230769230769 2150.73076923077
"6" "6" 8.21923076923077 1856.53846153846
"7" "7" 8.31666666666667 2030.95833333333
"8" "8" 7.66666666666667 1546.375
"9" "9" 7.95652173913043 1852.60869565217
